cellid|enodebid|Hour of jour|Month, Day, Year of jour|LTE Latency (ms)
31|13110|0|5 fevrier 2021|17,857379504
31|13139|0|5 fevrier 2021|31,846242550
31|13437|0|5 fevrier 2021|20,454131769
42|13139|0|5 fevrier 2021|12,546664435
31|13110|0|4 mars 2021|12,985839143
31|13139|0|4 mars 2021|9,081318479
31|13437|0|4 mars 2021|45,767015931
42|13139|0|4 mars 2021|15,063906797
31|13110|0|6 mars 2021|26,608135306
31|13139|0|6 mars 2021|15,395769720
31|13437|0|6 mars 2021|18,304441367
42|13139|0|6 mars 2021|13,070736119
31|13110|1|5 fevrier 2021|9,149209370
31|13139|1|5 fevrier 2021|12,372858537
31|13437|1|5 fevrier 2021|9,839499022
42|13139|1|5 fevrier 2021|12,197336194
31|13110|1|4 mars 2021|19,287554608
31|13139|1|4 mars 2021|8,925046400
31|13437|1|4 mars 2021|11,923576944
42|13139|1|4 mars 2021|10,489587057
31|13110|1|6 mars 2021|20,699296869
31|13139|1|6 mars 2021|18,423735467
31|13437|1|6 mars 2021|29,453368577
42|13139|1|6 mars 2021|13,062835233
31|13110|2|5 fevrier 2021|12,491230939
31|13139|2|5 fevrier 2021|1,369382379
31|13437|2|5 fevrier 2021|8,952006637
42|13139|2|5 fevrier 2021|10,883366672
31|13110|2|4 mars 2021|32,136192638
31|13139|2|4 mars 2021|52,436697479
31|13437|2|4 mars 2021|9,289145943
42|13139|2|4 mars 2021|11,003351827
31|13110|2|6 mars 2021|12,355961760
31|13139|2|6 mars 2021|25,470290771
31|13437|2|6 mars 2021|10,083396194
42|13139|2|6 mars 2021|11,722047388
31|13110|3|5 fevrier 2021|38,073879818
31|13139|3|5 fevrier 2021|24,370089973
31|13437|3|5 fevrier 2021|10,714266475
42|13139|3|5 fevrier 2021|86,249922408
31|13110|3|4 mars 2021|23,192542385
31|13139|3|4 mars 2021|7,263462066
31|13437|3|4 mars 2021|28,276046244
42|13139|3|4 mars 2021|
31|13110|3|6 mars 2021|10,082251533
31|13139|3|6 mars 2021|12,524574331
31|13437|3|6 mars 2021|22,606223143
42|13139|3|6 mars 2021|53,826484018
31|13110|4|5 fevrier 2021|11,250709046
31|13139|4|5 fevrier 2021|14,932994951
31|13437|4|5 fevrier 2021|14,203328397
42|13139|4|5 fevrier 2021|
31|13110|4|4 mars 2021|9,435329932
31|13139|4|4 mars 2021|13,010313190
31|13437|4|4 mars 2021|12,775586766
42|13139|4|4 mars 2021|
31|13110|4|6 mars 2021|11,732692843
31|13139|4|6 mars 2021|25,391967869
31|13437|4|6 mars 2021|24,073821528
42|13139|4|6 mars 2021|
31|13110|5|5 fevrier 2021|11,341074260
31|13139|5|5 fevrier 2021|14,982822324
31|13437|5|5 fevrier 2021|11,152678741
42|13139|5|5 fevrier 2021|
31|13139|5|4 mars 2021|30,459861381
31|13437|5|4 mars 2021|18,366744330
42|13139|5|4 mars 2021|16,268480388
31|13110|5|6 mars 2021|11,570130076
31|13139|5|6 mars 2021|26,944546227
31|13437|5|6 mars 2021|8,215810374
42|13139|5|6 mars 2021|
31|13110|6|5 fevrier 2021|21,252439041
31|13139|6|5 fevrier 2021|33,889059209
31|13437|6|5 fevrier 2021|9,545291300
42|13139|6|5 fevrier 2021|19,280837729
31|13139|6|4 mars 2021|41,011827517
31|13437|6|4 mars 2021|9,868994350
42|13139|6|4 mars 2021|17,781011589
31|13110|6|6 mars 2021|24,641601432
31|13139|6|6 mars 2021|27,889595148
31|13437|6|6 mars 2021|7,682519694
42|13139|6|6 mars 2021|17,556646683
31|13110|7|5 fevrier 2021|20,976079532
31|13139|7|5 fevrier 2021|28,117926522
31|13437|7|5 fevrier 2021|11,743887209
42|13139|7|5 fevrier 2021|21,470558468
31|13139|7|4 mars 2021|29,376371818
31|13437|7|4 mars 2021|14,915856657
42|13139|7|4 mars 2021|16,449953671
31|13110|7|6 mars 2021|21,977165452
31|13139|7|6 mars 2021|22,402060556
31|13437|7|6 mars 2021|28,307141869
42|13139|7|6 mars 2021|21,853376631
31|13110|8|5 fevrier 2021|11,606848343
31|13139|8|5 fevrier 2021|23,408319412
31|13437|8|5 fevrier 2021|13,276831240
42|13139|8|5 fevrier 2021|22,482936900
31|13139|8|4 mars 2021|17,869632053
31|13437|8|4 mars 2021|11,092073743
42|13139|8|4 mars 2021|16,315970503
31|13110|8|6 mars 2021|22,619078454
31|13139|8|6 mars 2021|9,694166600
31|13437|8|6 mars 2021|8,723846872
42|13139|8|6 mars 2021|15,740935941
31|13110|9|5 fevrier 2021|11,779861506
31|13139|9|5 fevrier 2021|33,611900468
31|13437|9|5 fevrier 2021|12,780725938
42|13139|9|5 fevrier 2021|15,522247737
31|13139|9|4 mars 2021|20,952227011
31|13437|9|4 mars 2021|12,759179403
42|13139|9|4 mars 2021|18,200364033
31|13110|9|6 mars 2021|16,633211291
31|13139|9|6 mars 2021|10,805416517
31|13437|9|6 mars 2021|8,575328792
42|13139|9|6 mars 2021|11,453105646
31|13110|10|5 fevrier 2021|25,427120544
31|13139|10|5 fevrier 2021|33,690161202
31|13437|10|5 fevrier 2021|12,223534203
42|13139|10|5 fevrier 2021|12,977307591
31|13110|10|4 mars 2021|10,770249517
31|13139|10|4 mars 2021|20,844058529
31|13437|10|4 mars 2021|11,155576480
42|13139|10|4 mars 2021|23,389698168
31|13110|10|6 mars 2021|12,616269553
31|13139|10|6 mars 2021|22,699929841
31|13437|10|6 mars 2021|13,293468449
42|13139|10|6 mars 2021|15,908489947
31|13110|11|5 fevrier 2021|20,809057545
31|13139|11|5 fevrier 2021|23,460757426
31|13437|11|5 fevrier 2021|11,955716380
42|13139|11|5 fevrier 2021|11,961527363
31|13110|11|4 mars 2021|23,464514777
31|13139|11|4 mars 2021|26,633745811
31|13437|11|4 mars 2021|11,060495736
42|13139|11|4 mars 2021|15,014750559
31|13110|11|6 mars 2021|15,949770795
31|13139|11|6 mars 2021|28,614370261
31|13437|11|6 mars 2021|11,520282570
42|13139|11|6 mars 2021|20,183496738
31|13110|12|5 fevrier 2021|21,371368039
31|13139|12|5 fevrier 2021|36,372627051
31|13437|12|5 fevrier 2021|13,594415379
42|13139|12|5 fevrier 2021|19,568244527
31|13110|12|4 mars 2021|23,356245286
31|13139|12|4 mars 2021|28,467327676
31|13437|12|4 mars 2021|9,940125504
42|13139|12|4 mars 2021|18,200379188
31|13110|12|6 mars 2021|19,030399548
31|13139|12|6 mars 2021|25,730259359
31|13437|12|6 mars 2021|11,681013565
42|13139|12|6 mars 2021|14,778272538
31|13110|13|5 fevrier 2021|18,768456703
31|13139|13|5 fevrier 2021|28,834546628
31|13437|13|5 fevrier 2021|11,971219196
42|13139|13|5 fevrier 2021|13,451054242
31|13110|13|4 mars 2021|15,842798344
31|13139|13|4 mars 2021|25,508700308
31|13437|13|4 mars 2021|11,882170875
42|13139|13|4 mars 2021|29,643371192
31|13110|13|6 mars 2021|22,644911583
31|13139|13|6 mars 2021|24,153232493
31|13437|13|6 mars 2021|7,408816302
42|13139|13|6 mars 2021|19,211930845
31|13110|14|5 fevrier 2021|18,723251198
31|13139|14|5 fevrier 2021|26,404800530
31|13437|14|5 fevrier 2021|15,584616379
42|13139|14|5 fevrier 2021|15,011409333
31|13110|14|4 mars 2021|21,205067805
31|13139|14|4 mars 2021|28,588858605
31|13437|14|4 mars 2021|9,494858001
42|13139|14|4 mars 2021|20,700848372
31|13110|14|6 mars 2021|25,941718684
31|13139|14|6 mars 2021|23,115368002
31|13437|14|6 mars 2021|12,584326695
42|13139|14|6 mars 2021|18,754722913
31|13110|15|5 fevrier 2021|17,048454038
31|13139|15|5 fevrier 2021|19,108600963
31|13437|15|5 fevrier 2021|13,615382251
42|13139|15|5 fevrier 2021|19,121033296
31|13110|15|4 mars 2021|21,940733286
31|13139|15|4 mars 2021|23,618404368
31|13437|15|4 mars 2021|8,425778887
42|13139|15|4 mars 2021|21,403289838
31|13110|15|6 mars 2021|25,946904597
31|13139|15|6 mars 2021|23,868489552
31|13437|15|6 mars 2021|8,170218412
42|13139|15|6 mars 2021|14,445322048
31|13110|16|5 fevrier 2021|14,499901691
31|13139|16|5 fevrier 2021|34,786867292
