Month of DAY|Site ID(Office)|Site Name|Year of DAY|Calcul 1|valeur|Difference in Count of sheet1
January|13103|CELIGNY|2021|good|99.97%|
January|13105|Chateau Gaillard|2021|good|100.00%|
January|13110|GUERY|2021|good|100.00%|
January|13111|GRANDE VIGIE|2021|good|100.00%|
January|13112|CARAQUE|2021|good|99.97%|
January|13116|ANSE A DOUVILLE - GOYAVE|2021|acceptable|99.84%|
January|13117|MON REPOS|2021|acceptable|99.95%|
January|13118|BOIS DEBOUT|2021|good|100.00%|
January|13121|MATOUBA|2021|good|100.00%|
January|13122|LE TUFF GRAND CROIX|2021|good|99.99%|
January|13123|TARARE|2021|good|99.99%|
January|13134|PETIT PEROU|2021|good|99.98%|
January|13135|PAP VALMY|2021|good|99.99%|
January|13136|MORNE GARCIA DUGAZON|2021|good|100.00%|
January|13137|DESTRELAN|2021|acceptable|99.90%|
January|13138|AEROPORT RAIZET|2021|good|100.00%|
January|13139|GRANDE SAVANE|2021|good|99.97%|
January|13142|POINTE JARRY|2021|good|99.98%|
January|13143|JARRY MOUDONG|2021|good|99.99%|
January|13144|ST LOUIS|2021|acceptable|99.31%|
January|13158|BAS VENT|2021|good|99.97%|
January|13159|BELLEVUE MUSEE DU RHUM|2021|good|99.98%|
January|13162|BELLE PLAINE|2021|good|100.00%|
January|13164|ROUTA CALVAIRE|2021|good|99.98%|
January|13167|LA BOUCAN|2021|good|99.98%|
January|13168|WONCHE|2021|good|99.98%|
January|13169|BAGATELLE|2021|good|100.00%|
January|13170|LA RETRAITE|2021|acceptable|99.74%|
January|13177|BONFILS BOIS SEC|2021|good|99.99%|
January|13178|SAINTE MARIE|2021|acceptable|99.94%|
January|13179|MORAVIE CAMBREFORT|2021|good|99.96%|
January|13187|POINTE FERRY|2021|good|99.97%|
January|13188|MARQUISAT CACOVILLE|2021|good|99.97%|
January|13191|CAMP LA JAILLE|2021|good|99.98%|
January|13194|PONT DE L'ALLIANCE|2021|good|99.98%|
January|13404|POIRIER|2021|good|100.00%|
January|13405|LOUISIANE|2021|good|100.00%|
January|13407|WILLIAM|2021|acceptable|99.90%|
January|13413|BRION|2021|good|100.00%|
January|13420|BEAUFOND|2021|good|100.00%|
January|13425|SAINT CHARLES|2021|acceptable|99.24%|
January|13426|BLANCHET|2021|good|100.00%|
January|13428|CANTAMERLE|2021|good|100.00%|
January|13437|BORRICAUD|2021|good|100.00%|
January|13438|DUBEDOU|2021|good|99.96%|
January|13446|ANSE BERTRAND|2021|good|100.00%|
January|13448|BASSE TERRE CENTRE|2021|good|100.00%|
January|13456|MONTERAN TDF - ST. PHY|2021|good|100.00%|
January|13459|MONTAUBAN|2021|good|100.00%|
January|13460|BOIS JOLAN|2021|good|99.99%|
January|13462|FOND CABRE|2021|good|100.00%|
January|13464|GOSIER CENTRE|2021|good|99.97%|
January|13465|POINTE-A-PITRE CENTRE|2021|good|100.00%|
January|13467|FOND BUDAN|2021|good|99.95%|
January|13472|AUGUSTE ROMAGE|2021|good|99.98%|
January|13474|MEMORIAL ACT|2021|good|99.99%|
January|13475|SAINT FRANCOIS GOLF|2021|good|100.00%|
January|13477|RAIZET|2021|good|100.00%|
January|13800|ROUTE DE L'ANGLAIS|2021|good|99.99%|
January|13801|ROCADE|2021|good|100.00%|
January|13802|MOREL|2021|good|100.00%|
January|13804|BRAGELONE|2021|acceptable|99.89%|
January|13806|GRAND FOND|2021|good|100.00%|
January|13807|COURCELLES|2021|good|99.99%|
January|13808|BEL ETANG|2021|good|100.00%|
January|13809|DOUVILLE STE ANNE|2021|good|100.00%|
January|13810|LOIAL|2021|good|100.00%|
January|13811|DURIVAGE|2021|good|99.99%|
January|13812|MARE GAILLARD|2021|acceptable|99.87%|
January|13813|MORNE LESCAL|2021|acceptable|99.83%|
January|13814|ST RAPHAEL|2021|good|99.96%|
January|13815|HOTEL ARAWAK|2021|good|100.00%|
January|13817|MARINA|2021|good|100.00%|
January|13819|TOUR FREBAULT|2021|good|99.98%|
January|13820|GRAND CAMP|2021|good|100.00%|
January|13821|BOURGOGNE|2021|good|99.97%|
January|13823|FT LES ABYMES|2021|good|100.00%|
January|13824|MONDUC|2021|good|99.97%|
January|13825|NESTAR|2021|good|99.97%|
January|13826|CHAZEAU|2021|good|100.00%|
January|13829|CHABERT|2021|good|100.00%|
January|13830|PETIT CANAL|2021|acceptable|99.67%|
January|13831|MOULIN|2021|good|99.99%|
January|13833|HAUT DE LA MONTAGNE|2021|good|100.00%|
January|13834|ARNOUVILLE|2021|good|99.99%|
January|13835|COPPET|2021|acceptable|99.91%|
January|13837|BAIE MAHAULT|2021|good|99.95%|
January|13838|BARBOTTEAU|2021|good|100.00%|
January|13840|QUARTIER D'ORLEANS|2021|acceptable|99.89%|
January|13841|CHOISY|2021|good|100.00%|
January|13842|PLIANE|2021|good|100.00%|
January|13843|SOFAIA FT|2021|good|100.00%|
January|13844|DESHAIES|2021|good|100.00%|
January|13847|POINTE NOIRE|2021|good|99.97%|
January|13848|BEAUREGARD|2021|good|99.98%|
January|13849|MORNE A LOUIS|2021|good|99.97%|
January|13850|COURBARIL|2021|good|100.00%|
January|13851|BOUILLANTE VILLAGE|2021|good|99.99%|
January|13852|BEAUSOLEIL|2021|good|99.99%|
January|13853|BAILLIF|2021|good|100.00%|
January|13856|MORNE HOUEL|2021|good|100.00%|
January|13858|GOURBEYRE|2021|good|100.00%|
January|13859|CHÂTEAU SOURETTE|2021|good|100.00%|
January|13861|MORNE SALE|2021|good|100.00%|
January|13862|LACAVE STADE MUNICIPAL|2021|good|100.00%|
January|13863|GOYAVE|2021|good|99.95%|
January|13864|SCHOELCHER|2021|good|100.00%|
January|13865|PETIT BOURG FT|2021|good|100.00%|
January|13878|SIEAPAPA|2021|good|100.00%|
January|13879|VATABLE|2021|good|100.00%|
January|13880|JARRY|2021|good|100.00%|
January|13881|LAMENTIN SUD|2021|good|100.00%|
January|13882|HYUNDAI|2021|good|100.00%|
January|13886|TROIS RIVIERES|2021|good|99.99%|
January|13887|POINTE DES CHATEAUX|2021|good|99.95%|
January|13893|VIEUX BOURG|2021|good|100.00%|
January|13894|DUZER|2021|good|99.99%|
January|13896|BLONZAC|2021|acceptable|99.56%|
January|13899|CADET|2021|good|100.00%|
January|14200|GASCHETTE|2021|acceptable|99.94%|
January|14204|DAUBERT|2021|acceptable|90.60%|
January|14205|RECULEE|2021|acceptable|99.32%|
January|14206|CARABIN|2021|acceptable|99.86%|
January|14212|ROUTE TRACE CHAMPFLORE|2021|good|100.00%|
January|14214|CHAPUZOT|2021|acceptable|99.89%|
January|14217|CAP EST|2021|good|100.00%|
January|14221|MORNE LEPINAY|2021|good|100.00%|
January|14223|BEAUJOLAIS|2021|good|100.00%|
January|14225|ROUTE DE MOUTTE|2021|good|99.97%|
January|14226|MORNE DESAIX|2021|good|100.00%|
January|14229|BOULEVARD DE LA MARNE|2021|acceptable|97.00%|
January|14231|POINTE DU BOUT FT|2021|good|100.00%|
January|14232|LUNETTE BOUILLEE|2021|good|100.00%|
January|14236|BAIE DES MULETS|2021|acceptable|99.61%|
January|14240|ZI COCOTTE|2021|good|100.00%|
January|14242|ROCHES CARRES|2021|acceptable|99.91%|
January|14243|DUCHESNE|2021|acceptable|98.99%|
January|14244|BEAUSEJOUR|2021|acceptable|99.89%|
January|14248|BOIS LEZARD|2021|good|100.00%|
January|14252|MORNE CAPOT|2021|acceptable|98.82%|
January|14253|GRAND FOND|2021|good|100.00%|
January|14255|HAUTEURS BOURDONS|2021|good|99.99%|
January|14258|HABITATION PETIT REDUIT|2021|good|99.97%|
January|14261|LES HAUTS DE MANIBA|2021|good|100.00%|
January|14267|CHÂTEAU GAILLARD|2021|good|99.99%|
January|14268|FOND MANOEL|2021|good|99.99%|
January|14282|LAMENTIN NORD OUEST|2021|good|100.00%|
January|14289|CHÂTEAU PAILLE|2021|good|100.00%|
January|14290|FOUR A CHAUX|2021|good|100.00%|
January|14291|POINTE DU BOUT HIBISCUS|2021|good|100.00%|
January|14293|FDF ROCADE L'ERMITAGE|2021|good|99.97%|
January|14297|ANSE COLLAT|2021|good|100.00%|
January|14298|RIVIERE SALEE-LA LAUGIER|2021|acceptable|99.83%|
January|14700|LE CARBET|2021|good|100.00%|
January|14701|ST PIERRE|2021|good|100.00%|
January|14702|LE LORRAIN|2021|good|99.99%|
January|14703|LE MARIGOT|2021|acceptable|99.38%|
January|14704|MORNE ROUGE AILERON|2021|good|100.00%|
January|14705|STE MARIE|2021|good|100.00%|
